k,avg_lat0,avg_lat1,avg_diff,extra_percent
1,2.193844,2.357250,0.163406,7.448399
2,4.371572,4.598237,0.226665,5.184979
3,6.538685,6.833931,0.295246,4.515373
4,8.695168,9.076576,0.381409,4.386443
5,10.841187,11.317869,0.476682,4.396953
6,12.976800,13.554855,0.578055,4.454523
7,15.102227,15.788793,0.686567,4.546128
8,17.217579,18.017836,0.800257,4.647908
9,19.323125,20.239878,0.916753,4.744329
10,21.419030,22.454304,1.035274,4.833430
11,23.505609,24.659980,1.154370,4.911042
12,25.583073,26.856654,1.273581,4.978217
13,27.651778,29.044376,1.392598,5.036195
14,29.711980,31.223445,1.511466,5.087058
15,31.764067,33.394294,1.630227,5.132300
16,33.808332,35.557088,1.748756,5.172558
17,35.845192,37.712149,1.866957,5.208390
18,37.874969,39.859804,1.984834,5.240491
19,39.898096,42.000484,2.102388,5.269394
20,41.914918,44.134599,2.219681,5.295683
21,43.925872,46.262633,2.336761,5.319783
22,45.931318,48.384986,2.453668,5.342037
23,47.931684,50.502115,2.570431,5.362697
24,49.927331,52.614351,2.687020,5.381862
25,51.918666,54.722130,2.803464,5.399722
26,53.906037,56.825722,2.919684,5.416248
27,55.889817,58.925483,3.035667,5.431520
28,57.870325,61.021725,3.151400,5.445624
29,59.847884,63.114764,3.266879,5.458638
30,61.754725,65.118985,3.364260,5.447778
31,63.529493,66.963890,3.434398,5.405989
32,65.237576,68.738182,3.500606,5.365934
33,66.947487,70.525036,3.577549,5.343814
34,68.660179,72.320813,3.660634,5.331525
35,70.376720,74.124259,3.747539,5.324970
36,72.098028,75.936551,3.838524,5.324034
37,73.825112,77.757718,3.932606,5.326922
38,75.558826,79.587705,4.028879,5.332109
39,77.300094,81.426181,4.126087,5.337752
40,79.049681,83.274066,4.224385,5.343962
41,80.808393,85.132449,4.324056,5.350999
42,82.576883,87.002221,4.425338,5.359052
43,84.355801,88.884284,4.528483,5.368312
44,86.145661,90.779704,4.634043,5.379311
45,87.946910,92.689429,4.742518,5.392478
46,89.759904,94.612010,4.852106,5.405649
47,91.584841,96.545142,4.960301,5.416072
48,93.421880,98.488617,5.066737,5.423502
49,95.270917,100.442019,5.171103,5.427787
50,97.131893,102.404484,5.272592,5.428281
51,99.004342,104.374831,5.370489,5.424498
52,100.887986,106.355612,5.467626,5.419501
53,102.781918,108.346132,5.564214,5.413612
54,104.685646,110.345970,5.660324,5.406973
55,106.597720,112.359669,5.761950,5.405322
56,108.517482,114.391836,5.874354,5.413279
57,110.442653,116.441172,5.998519,5.431343
58,112.372127,118.512194,6.140067,5.464048
59,114.298882,120.638950,6.340068,5.546921
60,116.221129,122.822711,6.601582,5.680191
