k,max_diff,max_diff_percent
1,10.785636,5.349403
2,12.686853,4.316560
3,12.672231,2.874406
4,12.657588,2.153309
5,12.657588,1.720640
6,12.642864,1.432214
7,12.642864,1.226190
8,12.628285,1.071666
9,12.620200,0.951488
10,12.606979,0.855340
11,12.593728,0.776674
12,12.580521,0.711124
13,12.567394,0.655652
14,12.554134,0.608107
15,12.540960,0.566904
16,12.527739,0.530852
17,12.514536,0.499037
18,12.501338,0.470767
19,12.488123,0.445515
20,12.474938,0.422791
21,12.461736,0.402231
22,12.448461,0.383538
23,12.448461,0.366475
24,12.448461,0.350831
25,12.448461,0.336438
26,12.448460,0.323151
27,12.448461,0.310852
28,12.448461,0.296313
29,12.448460,0.285756
30,12.448461,0.257931
31,12.448461,0.245536
32,12.448460,0.234276
33,12.448461,0.224002
34,12.448461,0.214589
35,12.448461,0.205933
36,12.448461,0.197948
37,12.448461,0.190557
38,12.448461,0.183698
39,12.448460,0.177314
40,12.448460,0.171358
41,12.435293,0.165789
42,12.435294,0.160571
43,12.422093,0.155670
44,12.422093,0.151060
45,12.408838,0.146715
46,12.395725,0.142613
47,12.395725,0.138734
48,12.382521,0.135061
49,12.382521,0.131578
50,12.369299,0.128270
51,12.356040,0.125125
52,12.356041,0.122130
53,9.447575,0.092092
54,9.077291,0.086772
55,7.924805,0.074013
56,7.414691,0.067747
57,5.962605,0.053763
58,7.784835,0.069281
59,4.857896,0.042679
60,0.442048,0.003805
